Country;ISO3_code;Population;Continent
St. Vincent Grenadines;VCT;11094;Central America and the Caribbean
Venezuela;VEN;28435940;South America
British Virgin Islands;VGB;30231;Central America and the Caribbean
Virgin Islands (U.S.);VIR;104425;Central America and the Caribbean
Vietnam;VNM;97338579;Asia
Vanuatu;VUT;307145;Oceania
Wallis and Futuna;WLF;15289;Oceania
Samoa;WSM;198414;Oceania
Yemen;YEM;29825964;Asia
South Africa;ZAF;59308690;Africa
Zambia;ZMB;18383955;Africa
Zimbabwe;ZWE;14862924;Africa
